,price,bathD,bedroomD,landAreaUnitD,floorNo,floors,2 To 4 Hours Powercut,Less Than 2 Hour Powercut,No/Rare Powercut,Furnished,Semi-Furnished,Unfurnished,Apartment,Builder Floor Apartment,Penthouse,Residential House,Villa,New Property,Other,Rent,Resale,Water Availability 1 Hour Available,Water Availability 12 Hours Available,Water Availability 2 Hours Available,Water Availability 24 Hours Available,Water Availability 6 Hours Available,N,Y,amenitiesCount,floorRatio
734,14200000,3,3,sqft,5.0,13.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10.0,0.38461538461538464
735,4100000,1,2,sqft,12.0,13.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,11.0,0.9230769230769231
736,41100000,1,1,sqft,9.414171656686626,19.1626746506986,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7.0,0.4912764960158325
737,18000000,5,4,sqft,13.0,15.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,25.0,0.8666666666666667
738,25000000,2,2,sqft,10.0,19.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,15.0,0.5263157894736842
739,12700000,2,2,Sq-ft,2.0,7.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,16.0,0.2857142857142857
740,15000000,3,3,sqft,9.0,13.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2.0,0.6923076923076923
741,22500000,2,1,sqft,1.0,6.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4.0,0.16666666666666666
742,17200000,2,2,sqft,8.0,19.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3.0,0.42105263157894735
743,25000000,2,2,sqft,6.0,6.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6.0,1.0
744,4700000,2,1,sqft,9.414171656686626,19.1626746506986,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3.0,0.4912764960158325
745,6450000,2,2,sqft,9.414171656686626,19.1626746506986,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,23.0,0.4912764960158325
746,10000000,1,1,sqft,4.0,7.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,12.0,0.5714285714285714
747,5850000,1,1,sqft,1.0,3.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,14.444773175542407,0.3333333333333333
748,5000000,1,1,sqft,1.0,7.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2.0,0.14285714285714285
749,2500000,1,1,sqft,4.0,6.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,8.0,0.6666666666666666
750,2450000,2,3,sqft,0.0,2.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4.0,0.0
751,4000000,3,3,sqft,18.0,22.0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,24.0,0.8181818181818182
752,23000000,1,1,sqft,0.0,5.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,9.0,0.0
753,2700000,2,2,sqft,3.0,6.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,6.0,0.5
754,6000000,2,2,sqft,5.0,7.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2.0,0.7142857142857143
755,7500000,2,1,sqft,6.0,17.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,7.0,0.35294117647058826
756,1600000,2,2,sqft,11.0,16.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,14.444773175542407,0.6875
757,14500000,1,2,sqft,0.0,4.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,6.0,0.0
758,3500000,2,1,sqft,5.0,17.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5.0,0.29411764705882354
759,5500000,2,2,sqft,-1.0,10.0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,24.0,-0.1
760,5000000,3,3,sqft,-1.0,20.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,17.0,-0.05
761,8500000,1,1,sqft,2.0,4.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,14.444773175542407,0.5
762,4500000,3,3,sqft,4.0,7.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3.0,0.5714285714285714
763,7000000,2,2,sqft,2.0,4.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,14.444773175542407,0.5
764,4400000,1,1,sqft,7.0,7.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,8.0,1.0
765,8500000,2,1,sqft,9.0,10.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4.0,0.9
766,15100000,1,1,sqft,0.0,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,14.444773175542407,0.0
767,37000000,2,2,sqft,2.0,45.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,21.0,0.044444444444444446
768,35000000,4,4,sqft,5.0,22.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,7.0,0.22727272727272727
769,29000000,3,3,sqft,8.0,29.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,30.0,0.27586206896551724
770,18500000,2,3,sqft,9.414171656686626,19.1626746506986,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,14.0,0.4912764960158325
771,9500000,2,2,sqft,1.0,14.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,9.0,0.07142857142857142
772,3200000,2,2,sqft,2.0,3.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3.0,0.6666666666666666
773,2650000,2,2,sqft,0.0,3.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,5.0,0.0
